,index,Interaction,Type,Importance
0,172,R X Total,catcont,0.09618789116042684
1,18,B X E,catcat,0.08246538659233425
2,131,S X V,catcat,0.08058063773597411
3,110,M X R,catcat,0.06968731829845694
4,140,B X TSpiciness,catcont,0.06624363070187522
5,85,G X P,catcat,0.06197743472935376
6,171,P X TSweetness,catcont,0.06021236457231402
7,76,F X R,catcat,0.059893422811570965
8,60,E X H,catcat,0.05926021103356376
9,141,B X TSweetness,catcont,0.05858378228852471
10,116,O X R,catcat,0.05849129203676621
11,95,H X R,catcat,0.058127821995564065
12,29,B X V,catcat,0.056088702678319446
13,100,K X M,catcat,0.05439948796770211
14,145,D X Total,catcont,0.05335232809290318
15,27,B X S,catcat,0.051318564136763514
16,168,O X TSweetness,catcont,0.050658033205728176
17,115,O X P,catcat,0.04919618091157153
18,64,E X P,catcat,0.04832699318381616
19,72,F X K,catcat,0.04831734262013152
20,22,B X K,catcat,0.047941029586867745
21,139,B X Total,catcont,0.047327597858491076
22,40,C X R,catcat,0.044928443846752805
23,135,V X W,catcat,0.043744659412987094
24,58,E X F,catcat,0.04367663903900982
25,6,A X H,catcat,0.04313352569818296
26,107,K X W,catcat,0.04209751808062982
27,82,G X K,catcat,0.04208924308823998
28,30,B X W,catcat,0.041693073543754594
29,185,W X TSpiciness,catcont,0.041216819619779695
30,84,G X O,catcat,0.04080529263990849
31,36,C X K,catcat,0.039681774161597516
32,88,G X T,catcat,0.03893693454540427
33,153,F X TSweetness,catcont,0.03861134222158378
34,50,D X M,catcat,0.038585244208697925
35,71,F X H,catcat,0.038190487039304014
36,176,S X TSpiciness,catcont,0.03784548936210542
37,38,C X O,catcat,0.037689481931737503
38,93,H X O,catcat,0.037560562912778775
39,173,R X TSpiciness,catcont,0.0366385152468381
40,180,T X TSweetness,catcont,0.03647053727386844
41,136,A X Total,catcont,0.03635071862411008
42,20,B X G,catcat,0.03633481263414664
43,102,K X P,catcat,0.03450067891939655
44,34,C X G,catcat,0.034306965655830024
45,151,F X Total,catcont,0.034218985650219816
46,81,G X H,catcat,0.03400164502812994
47,128,R X V,catcat,0.03333994545374779
48,175,S X Total,catcont,0.03326522863060638
49,89,G X V,catcat,0.03306924231396006
50,0,A X B,catcat,0.03224099070806473
51,126,R X S,catcat,0.03181498047351867
52,31,C X D,catcat,0.03147732182916535
53,21,B X H,catcat,0.03140370498405368
54,108,M X O,catcat,0.031351269073003736
55,169,P X Total,catcont,0.03032282837863388
56,163,M X Total,catcont,0.03018357001560701
57,150,E X TSweetness,catcont,0.029895956938604806
58,160,K X Total,catcont,0.029843414555536563
59,87,G X S,catcat,0.029789987974391283
60,181,V X Total,catcont,0.029361917919130138
61,137,A X TSpiciness,catcont,0.029304207901876055
62,54,D X S,catcat,0.029150475569535726
63,7,A X K,catcat,0.029096368909027785
64,177,S X TSweetness,catcont,0.028459222009149264
65,12,A X S,catcat,0.028131431731496955
66,10,A X P,catcat,0.02742972258737836
67,188,Total X TSweetness,contcont,0.027203686829401615
68,134,T X W,catcat,0.02672176037080655
69,143,C X TSpiciness,catcont,0.026419646232318548
70,55,D X T,catcat,0.02574039087598083
71,91,H X K,catcat,0.0255580827203115
72,164,M X TSpiciness,catcont,0.02552193481205806
73,154,G X Total,catcont,0.025414820119819583
74,51,D X O,catcat,0.02517446867029819
75,152,F X TSpiciness,catcont,0.024645494041435446
76,61,E X K,catcat,0.02451875227326882
77,159,H X TSweetness,catcont,0.02442105680683911
78,33,C X F,catcat,0.024195434884946024
79,158,H X TSpiciness,catcont,0.02394460856840601
80,42,C X T,catcat,0.022942777602298625
81,23,B X M,catcat,0.02284856882512841
82,130,S X T,catcat,0.022821578122394683
83,133,T X V,catcat,0.02263022753079682
84,14,A X V,catcat,0.02215472592646752
85,112,M X T,catcat,0.022085436140751893
86,99,H X W,catcat,0.021595771045478985
87,3,A X E,catcat,0.02157768588981502
88,129,R X W,catcat,0.021501842395240393
89,49,D X K,catcat,0.020204324450299477
90,111,M X S,catcat,0.02010924778967887
91,121,P X R,catcat,0.020055640041053244
92,2,A X D,catcat,0.019899341442292467
93,189,TSpiciness X TSweetness,contcont,0.01978803468237517
94,24,B X O,catcat,0.019286538803115785
95,156,G X TSweetness,catcont,0.01893959467527293
96,142,C X Total,catcont,0.018849138374539456
97,75,F X P,catcat,0.0183813756135492
98,96,H X S,catcat,0.017728309912581817
99,187,Total X TSpiciness,contcont,0.01772761615538867
100,174,R X TSweetness,catcont,0.017592464554107044
101,47,D X G,catcat,0.017567756369677282
102,162,K X TSweetness,catcont,0.017279090493032292
103,59,E X G,catcat,0.017111892236700572
104,149,E X TSpiciness,catcont,0.01707985464553591
105,11,A X R,catcat,0.01654714783039756
106,67,E X T,catcat,0.016472187897733262
107,45,D X E,catcat,0.016395359080777386
108,182,V X TSpiciness,catcont,0.016357060120864762
109,32,C X E,catcat,0.015939857279858412
110,19,B X F,catcat,0.01570382890401014
111,68,E X V,catcat,0.015521999017347085
112,77,F X S,catcat,0.015392983572998046
113,138,A X TSweetness,catcont,0.0151846320564811
114,178,T X Total,catcont,0.014833279664105907
115,17,B X D,catcat,0.014829440911549922
116,161,K X TSpiciness,catcont,0.014570673722726107
117,74,F X O,catcat,0.01428080043590145
118,120,O X W,catcat,0.014228771294132237
119,125,P X W,catcat,0.014105948399474499
120,184,W X Total,catcont,0.013673921455988038
121,4,A X F,catcat,0.013615973579353376
122,90,G X W,catcat,0.013342210617542953
123,16,B X C,catcat,0.013286163921982263
124,8,A X M,catcat,0.013241530803033447
125,44,C X W,catcat,0.013120821865917568
126,132,S X W,catcat,0.013019616020609527
127,79,F X V,catcat,0.012992479680505162
128,157,H X Total,catcont,0.012687773074781762
129,148,E X Total,catcont,0.01264678099378685
130,35,C X H,catcat,0.01261655136402356
131,41,C X S,catcat,0.012434255020865731
132,37,C X M,catcat,0.011683340135021434
133,39,C X P,catcat,0.01145914378650302
134,56,D X V,catcat,0.01133896597911428
135,13,A X T,catcat,0.011230474007222168
136,183,V X TSweetness,catcont,0.010957789600431457
137,73,F X M,catcat,0.010761005531530086
138,167,O X TSpiciness,catcont,0.010640800302159702
139,105,K X T,catcat,0.010281687885361884
140,9,A X O,catcat,0.010095384603815235
141,146,D X TSpiciness,catcont,0.01005816215680479
142,52,D X P,catcat,0.009990111665520334
143,186,W X TSweetness,catcont,0.00927627907706417
144,144,C X TSweetness,catcont,0.009156196023300558
145,97,H X T,catcat,0.008955845572132113
146,147,D X TSweetness,catcont,0.008697181748062686
147,114,M X W,catcat,0.008456083148324545
148,122,P X S,catcat,0.008429075643113378
149,48,D X H,catcat,0.008318159846838077
150,113,M X V,catcat,0.008216217056208012
151,124,P X V,catcat,0.008206412447405652
152,80,F X W,catcat,0.008158562370617994
153,101,K X O,catcat,0.007735851520852317
