,index,Interaction,Type,Importance
0,173,R X TSpicy,catcont,0.11726469156489826
1,106,K X V,catcat,0.1154197066581396
2,172,R X Total,catcont,0.09679710903197541
3,103,K X R,catcat,0.0910670250072819
4,18,B X E,catcat,0.08769109567139165
5,131,S X V,catcat,0.08614987077001615
6,182,V X TSpicy,catcont,0.07551009659001792
7,33,C X F,catcat,0.07352801611547306
8,76,F X R,catcat,0.06931601901040617
9,41,C X S,catcat,0.06773973062769906
10,85,G X P,catcat,0.06461577349737756
11,171,P X TSweetness,catcont,0.06372635057888522
12,110,M X R,catcat,0.06218971757985866
13,141,B X TSweetness,catcont,0.06119376234671325
14,140,B X TSpicy,catcont,0.05887129403394209
15,143,C X TSpicy,catcont,0.05800099324642802
16,145,D X Total,catcont,0.05775924409001201
17,95,H X R,catcat,0.05612359699472306
18,160,K X Total,catcont,0.05574806345747745
19,168,O X TSweetness,catcont,0.0542596639789037
20,60,E X H,catcat,0.05392417901932507
21,27,B X S,catcat,0.05246281634805053
22,64,E X P,catcat,0.052297892953336776
23,116,O X R,catcat,0.050496190941148544
24,115,O X P,catcat,0.049253968737441166
25,152,F X TSpicy,catcont,0.04920749312814449
26,146,D X TSpicy,catcont,0.04791603792938431
27,6,A X H,catcat,0.0476796852067768
28,29,B X V,catcat,0.04739792486918432
29,84,G X O,catcat,0.04559240790132173
30,164,M X TSpicy,catcont,0.04517731438079776
31,30,B X W,catcat,0.044422483761381706
32,139,B X Total,catcont,0.04393893282152174
33,185,W X TSpicy,catcont,0.043242010236837554
34,40,C X R,catcat,0.04310597939148129
35,38,C X O,catcat,0.04222147400103021
36,58,E X F,catcat,0.04043299455710342
37,181,V X Total,catcont,0.039674289755032156
38,151,F X Total,catcont,0.03847257844303106
39,72,F X K,catcat,0.03845999409458228
40,153,F X TSweetness,catcont,0.03810200720898283
41,36,C X K,catcat,0.03788589320293089
42,108,M X O,catcat,0.03740320597008397
43,34,C X G,catcat,0.0371189975687673
44,89,G X V,catcat,0.037061165035917984
45,88,G X T,catcat,0.03675843811144411
46,50,D X M,catcat,0.03663735289564169
47,21,B X H,catcat,0.036616304169710734
48,91,H X K,catcat,0.036392647625843766
49,136,A X Total,catcont,0.0360083559273333
50,20,B X G,catcat,0.03554567609491008
51,137,A X TSpicy,catcont,0.034975205396879656
52,133,T X V,catcat,0.034930490359501284
53,71,F X H,catcat,0.03482542998496105
54,107,K X W,catcat,0.03473946918213369
55,163,M X Total,catcont,0.034688844081724735
56,149,E X TSpicy,catcont,0.03462109358914505
57,93,H X O,catcat,0.03461910735823108
58,0,A X B,catcat,0.03445849235911802
59,55,D X T,catcat,0.03414927738167362
60,10,A X P,catcat,0.03412758836299657
61,130,S X T,catcat,0.0339986860863616
62,135,V X W,catcat,0.03304328717012872
63,82,G X K,catcat,0.03280524210570834
64,158,H X TSpicy,catcont,0.032224638556615635
65,180,T X TSweetness,catcont,0.031919136632112724
66,61,E X K,catcat,0.03173817490784363
67,169,P X Total,catcont,0.0316713548575156
68,7,A X K,catcat,0.03140984917915396
69,31,C X D,catcat,0.03085573516618808
70,188,Total X TSweetness,contcont,0.030248302860535852
71,126,R X S,catcat,0.02966418765970987
72,142,C X Total,catcont,0.029633090119791775
73,154,G X Total,catcont,0.02905654365779445
74,189,TSpicy X TSweetness,contcont,0.0280152791283202
75,102,K X P,catcat,0.027915510219790995
76,77,F X S,catcat,0.027753074382614373
77,159,H X TSweetness,catcont,0.027553130467494864
78,150,E X TSweetness,catcont,0.027123170499361287
79,111,M X S,catcat,0.026805812949279383
80,22,B X K,catcat,0.026715456635621627
81,100,K X M,catcat,0.026317413080976234
82,175,S X Total,catcont,0.026311046903801216
83,87,G X S,catcat,0.026019100846210636
84,12,A X S,catcat,0.025580115922387032
85,187,Total X TSpicy,contcont,0.024821941496051644
86,51,D X O,catcat,0.024774671107046446
87,14,A X V,catcat,0.024652482095806397
88,177,S X TSweetness,catcont,0.02395590027200412
89,3,A X E,catcat,0.023303704742953214
90,134,T X W,catcat,0.023118415934606756
91,42,C X T,catcat,0.0230927815098462
92,2,A X D,catcat,0.023025864734091562
93,81,G X H,catcat,0.022332821419912784
94,161,K X TSpicy,catcont,0.021787489139238152
95,96,H X S,catcat,0.02167897586767179
96,179,T X TSpicy,catcont,0.021479457465479232
97,99,H X W,catcat,0.02074558929002553
98,80,F X W,catcat,0.020447249980343182
99,112,M X T,catcat,0.020209718284231265
100,129,R X W,catcat,0.01963710044238819
101,11,A X R,catcat,0.019368543260129382
102,73,F X M,catcat,0.01922932621325991
103,54,D X S,catcat,0.018792042969413492
104,120,O X W,catcat,0.01871997680392461
105,75,F X P,catcat,0.018504306155085536
106,16,B X C,catcat,0.018024780097252717
107,178,T X Total,catcont,0.017998617825283596
108,170,P X TSpicy,catcont,0.017973240433350617
109,121,P X R,catcat,0.017510445182298485
110,24,B X O,catcat,0.017464512785354228
111,162,K X TSweetness,catcont,0.01700792260048938
112,23,B X M,catcat,0.016918364059983104
113,56,D X V,catcat,0.016832890682505125
114,59,E X G,catcat,0.016674799595508383
115,156,G X TSweetness,catcont,0.01628894120665202
116,32,C X E,catcat,0.015990430659447347
117,19,B X F,catcat,0.015846706960802343
118,183,V X TSweetness,catcont,0.015613623955048417
119,117,O X S,catcat,0.0152265142453419
120,47,D X G,catcat,0.01487106476440236
121,176,S X TSpicy,catcont,0.014780836802871856
122,138,A X TSweetness,catcont,0.014740388242371763
123,184,W X Total,catcont,0.014541321611936128
124,4,A X F,catcat,0.014416466180081161
125,167,O X TSpicy,catcont,0.014345173045366701
126,119,O X V,catcat,0.014326864045737152
127,9,A X O,catcat,0.014167965937049287
128,67,E X T,catcat,0.013912294810457818
129,155,G X TSpicy,catcont,0.013900651127172104
130,132,S X W,catcat,0.013898353479875714
131,144,C X TSweetness,catcont,0.013701591345382666
132,157,H X Total,catcont,0.01368576953188749
133,148,E X Total,catcont,0.013618236923097772
134,45,D X E,catcat,0.01343917245470026
135,125,P X W,catcat,0.013423058094340454
136,90,G X W,catcat,0.013319719295320257
137,53,D X R,catcat,0.013046476067143431
138,52,D X P,catcat,0.013025869898407963
139,65,E X R,catcat,0.012986310728087352
140,147,D X TSweetness,catcont,0.012563601111628454
141,49,D X K,catcat,0.012161729443397606
142,68,E X V,catcat,0.01210475407376382
143,1,A X C,catcat,0.011747814303532566
144,13,A X T,catcat,0.01150646361066699
145,48,D X H,catcat,0.010556814391123237
146,26,B X R,catcat,0.01050169696961197
147,62,E X M,catcat,0.010483559096592815
148,174,R X TSweetness,catcont,0.010448858868779064
149,17,B X D,catcat,0.010157442659715214
150,127,R X T,catcat,0.010038948993029415
151,35,C X H,catcat,0.009956774157079993
152,28,B X T,catcat,0.009764901043052584
153,97,H X T,catcat,0.009275284831292328
154,114,M X W,catcat,0.009269501047506823
155,123,P X T,catcat,0.009194991718558436
156,79,F X V,catcat,0.009011348461761607
157,166,O X Total,catcont,0.008680769849391493
158,186,W X TSweetness,catcont,0.008621935178864339
159,118,O X T,catcat,0.0085429985978838
160,63,E X O,catcat,0.008401810680041399
161,44,C X W,catcat,0.008285488199200788
162,105,K X T,catcat,0.008063823900832422
163,39,C X P,catcat,0.007926583967733066
164,94,H X P,catcat,0.007699228972454999
165,15,A X W,catcat,0.007177285956526522
166,66,E X S,catcat,0.007035053536554125
167,165,M X TSweetness,catcont,0.006951847126393518
168,83,G X M,catcat,0.006809918287011509
169,109,M X P,catcat,0.006430069233578914
170,104,K X S,catcat,0.006244063357994778
171,8,A X M,catcat,0.005807503557399817
172,74,F X O,catcat,0.005726218331939981
173,78,F X T,catcat,0.004948200644135836
174,43,C X V,catcat,0.004684373946133874
175,124,P X V,catcat,0.004196037446484996
176,69,E X W,catcat,0.0038729061055720166
177,37,C X M,catcat,0.0036259609068667285
178,86,G X R,catcat,0.003563853178788614
179,57,D X W,catcat,0.002471904582029497
180,113,M X V,catcat,0.0020914603805773395
181,70,F X G,catcat,0.0018882463713646267
182,128,R X V,catcat,0.0013818406903738205
183,92,H X M,catcat,0.0011457093127923911
184,122,P X S,catcat,0.0007381671311345201
185,5,A X G,catcat,0.0006532414735171887
186,98,H X V,catcat,0.0005516637080689873
187,101,K X O,catcat,0.00031294026766057697
188,46,D X F,catcat,0.0002541941126451165
189,25,B X P,catcat,0.00021077503285798777
